Ano Exercício;Órgão;Unidade Orçamentária;Municipio;Ação do Programa de Governo;Objeto_Detalhado;Orçado Inicial;Orçado Atual;Empenhado;Liquidado;Pago;Area_Tematica
2026;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Realização do Projeto na Educação Básica;Realização do Projeto na Educação Básica;313747.0;313747.0;0.0;0.0;0.0;Educação
2026;Secretaria do Trabalho, Emprego, Renda e Esporte;Superintendência dos Desportos do Estado da Bahia;Estado da Bahia;Promoção de Atividade de Esporte;Promoção de Atividade de Esporte;1002000.0;1002000.0;0.0;0.0;0.0;Esporte
2026;Secretaria do Trabalho, Emprego, Renda e Esporte;Superintendência dos Desportos do Estado da Bahia;Estado da Bahia;Promoção de Atividade de Esporte;Promoção de Atividade de Esporte;377000.0;377000.0;0.0;0.0;0.0;Esporte
2026;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Implementação de Fanfarra;Implementação de Fanfarra;231000.0;231000.0;0.0;0.0;0.0;Educação
2026;Secretaria de Desenvolvimento Rural;Companhia de Desenvolvimento e Ação Regional;Estado da Bahia;Distribuição de Equipamento de Apoio;Distribuição de Equipamento de Apoio;694000.0;694000.0;0.0;0.0;0.0;Agricultura
2026;Secretaria de Turismo;Assessoria de Planejamento e Gestão - SETUR;Estado da Bahia;Apoio à Realização de Evento;Apoio à Realização de Evento;540000.0;540000.0;0.0;0.0;0.0;Turismo
2026;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Ampliação da Frota de Ambulância;Ampliação da Frota de Ambulância;2450000.0;2238600.0;0.0;0.0;0.0;Saúde
2026;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Veículo para Transporte Escolar;Veículo para Transporte Escolar;277000.0;277000.0;0.0;0.0;0.0;Educação
2026;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Apoio Financeiro a Município;Apoio Financeiro a Município;500000.0;500000.0;0.0;0.0;0.0;Saúde
2026;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Gerenciamento do Serviço Hospitalar;Gerenciamento do Serviço Hospitalar;720000.0;420000.0;0.0;0.0;0.0;Saúde
2026;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Aparelhamento de Unidade de Saúde;Aparelhamento de Unidade de Saúde;750000.0;750000.0;0.0;0.0;0.0;Saúde
2026;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Apoio Financeiro para a Melhoria;Apoio Financeiro para a Melhoria;150000.0;150000.0;0.0;0.0;0.0;Educação
2026;Secretaria da Educação;Universidade do Estado da Bahia;Estado da Bahia;Realização de Ação de Extensão;Realização de Ação de Extensão;77000.0;77000.0;0.0;0.0;0.0;Educação
2026;Secretaria da Segurança Pública;Corpo de Bombeiros Militar da Bahia;Estado da Bahia;Aquisição de Equipamento para o Serviço;Aquisição de Equipamento para o Serviço;242490.0;0.0;0.0;0.0;0.0;Segurança
2026;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Ampliação e Renovação Frota de Veículos;Ampliação e Renovação Frota de Veículos;0.0;753890.0;612990.0;0.0;0.0;Saúde
2026;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Apoio a Município na Implantação;Apoio a Município na Implantação;1000000.0;1000000.0;0.0;0.0;0.0;Saúde
2026;Secretaria do Trabalho, Emprego, Renda e Esporte;Superintendência dos Desportos do Estado da Bahia;Estado da Bahia;Requalificação de Equipamento Esportivo;Requalificação de Equipamento Esportivo;300000.0;300000.0;0.0;0.0;0.0;Esporte
2026;Secretaria de Desenvolvimento Urbano;Companhia de Desenvolvimento Urbano do Estado da Bahia;Estado da Bahia;Implantação de Infraestrutura Viária;Implantação de Infraestrutura Viária;400742.0;400742.0;0.0;0.0;0.0;Infraestrutura
2026;Secretaria do Trabalho, Emprego, Renda e Esporte;Assessoria de Planejamento e Gestão - SETRE;Estado da Bahia;Capacitação Social e Profissional;Capacitação Social e Profissional;50000.0;50000.0;0.0;0.0;0.0;Social
2025;Secretaria da Saúde;Fundo Estadual de Saúde;Andorinha;Apoio Financeiro a Município;SEI 019.8358.2025.0188172-61, REFERENTE CONVÊNIO 009/2025, PARCELA UNICA - FMS ANDORINHA;1000000.0;1000000.0;1000000.0;1000000.0;1000000.0;Saúde
2025;Secretaria da Educação;Fundo de Assistência Educacional;Estado da Bahia;Assistência para Cultura Corporal e Espo;"Emenda Parlamentar do Deputado Bobô, destinada ao Centro Estadual de Educação Profissional Professor Paulo Batista Machado, para
a realização de ações socioeducacionais de Cultura Corporal e Esporte no Currículo da Educação Básica. sei: 011.8297.2025.0078868-21";100000.0;120000.0;120000.0;120000.0;120000.0;Educação
2025;Secretaria de Desenvolvimento Rural;Companhia de Desenvolvimento e Ação Regional;Estado da Bahia;Implantação de Infraestrutura Hídrica;Pgt parcial ref aquisição de 30 sistemas de irrigação por gotejamento 1ha Nfs 320249 e 320251 Ct 47/2025 T.77 sei 035.7371.2025.0019070-40;0.0;100000.0;100000.0;100000.0;100000.0;Infraestrutura
2025;Secretaria do Trabalho, Emprego, Renda e Esporte;Superintendência dos Desportos do Estado da Bahia;Estado da Bahia;Promoção de Atividade de Esporte;"Pagamento da nota fiscal nº 20365, referente ao Contrato nº028/2025, tendo como objeto Aquisição de Material Esportivo Diversos, com recursos da Emenda Estadual de autoria do Deputado Bobô, AFM nº 21.600.00215/2025.
processo;069.1465.2025.0004674-14";340000.0;430000.0;429000.0;429000.0;429000.0;Esporte
2025;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Ampliação e Renovação Frota de Veículos;"Aquisição de Veiculo de serviço administrativo - VAN, conforme ct 051/2025, afm n° 19.004.00776/2025, NFS: 928115,928116,
928105, 928121. E OUTRAS. IR 17009.
Processo sei n° 019.4975.2025.0198134-43.";0.0;1102418.0;1102418.0;102418.0;102418.0;Saúde
2025;Secretaria da Segurança Pública;Polícia Militar da Bahia;Estado da Bahia;Aquisição de Armamento para o Sistema;Aquisição de Armamento para o Sistema;0.0;274000.0;0.0;0.0;0.0;Segurança
2025;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Aparelhamento de Unidade de Saúde;"Despesa com aquisição de CONDICIONADOR, de ar, conforme AFM nº 19.004.00384/2025, Emenda Parlamentar 500143, processo
019.4975.2025.0096484-58. NF 168588. IR 17009";572018.0;289600.0;289600.0;289600.0;289600.0;Saúde
2025;Secretaria da Saúde;Fundo Estadual de Saúde;Estado da Bahia;Ampliação da Frota de Ambulância;"Aquisição de Veiculo de serviço essencial de saúde AMBULÂNCIA conforme ct n° 016/2025, afm n° 19.004.00386/2025, NFS: 3929
3951, 3950, 3931 E OUTRAS. IR 17009.
Processo sei n° 019.4975.2025.0082217-01.";2520000.0;1800000.0;1800000.0;1106996.0;1106996.0;Saúde
2025;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Apoio Financeiro a Município;Apoio Financeiro a Município;725000.0;0.0;0.0;0.0;0.0;Saúde
2025;Secretaria da Segurança Pública;Assessoria de Planejamento e Gestão - SSP;Estado da Bahia;Ampliação e Renovação da Frota;Ampliação e Renovação da Frota;274000.0;0.0;0.0;0.0;0.0;Segurança
2025;Secretaria de Turismo;Superintendência de Fomento ao Turismo do Estado da Bahia;Estado da Bahia;Apoio a Evento de Interesse Turístico;Apoio a Evento de Interesse Turístico;230000.0;0.0;0.0;0.0;0.0;Turismo
2025;Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura;Assessoria de Planejamento e Gestão - SEAGRI;Estado da Bahia;Apoio Preventivo a Ataque de Animais;Referente a 1º parcela do consórcio nº 01/2025- Projeto de Controle Populacional de Cães no Semiárido, Processo: 010.0602.2025.0001798-93.;0.0;180000.0;180000.0;180000.0;180000.0;Saúde
2025;Secretaria de Desenvolvimento Rural;Companhia de Desenvolvimento e Ação Regional;Estado da Bahia;Implantação de Infraestrutura Viária;Implantação de Infraestrutura Viária;0.0;0.0;0.0;0.0;0.0;Infraestrutura
2025;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Oferta de Transporte Escolar Município;Oferta de Transporte Escolar Município;398000.0;0.0;0.0;0.0;0.0;Educação
2025;Secretaria da Educação;Assessoria de Planejamento e Gestão - SEC;Estado da Bahia;Veículo para Transporte Escolar;Aquisição de um 01 ônibus rural escolar, AFM 1125300043/2024, NF 2018, processo SEI 011.5618.2025.0091216-14;0.0;843944.0;820471.65;820471.65;820471.65;Educação
2025;Secretaria da Educação;Fundo de Assistência Educacional;Estado da Bahia;Assistência para Aparelhamento de Unidad;"Emenda parlamentar, Deputado Bobô, para atender o Centro Territorial de Educação Profissional do Piemonte Norte do Itapicuru Tempo
Integral / NTE 25, processo SEI 011.5614.2025.0053410-50.";39605.0;39105.0;39105.0;39105.0;39105.0;Educação
2025;Secretaria de Desenvolvimento Rural;Companhia de Desenvolvimento e Ação Regional;Estado da Bahia;Distribuição de Equipamento de Apoio;Pgt ref aquisição de 01 trator Nf 226553 Ct 85/25 sei 035.7379.2025.0013328-51;634000.0;464000.0;463977.27;463977.27;463977.27;Agricultura
2025;Secretaria da Segurança Pública;Polícia Militar da Bahia;Estado da Bahia;Ampliação e Renovação da Frota;Ampliação e Renovação da Frota;0.0;0.0;0.0;0.0;0.0;Segurança
2025;Secretaria do Trabalho, Emprego, Renda e Esporte;Superintendência dos Desportos do Estado da Bahia;Estado da Bahia;Promoção de Atividade de Esporte;Repasse da parcela única do Termo de Fomento nº091/2025 tendo como objeto a Promoção de Atividade Esportiva Thai Force, com recursos da Emenda Estadual de autoria do Deputado Bobô 069.1486.2025.0003768-18;890912.0;800912.0;799363.0;799363.0;799363.0;Esporte
2025;Secretaria de Turismo;Assessoria de Planejamento e Gestão - SETUR;Jaguarari;Apoio à Realização de Evento;Ref patrocínio III ECOFESTIVAL DO CAFÉ DA SERRA DOS MORGADOS nos dias 18 a 20 de julho de 2025 em Jaguarari- Ba conf Contrato nº 633/2025. NF nº 17, Processo nº 032.1313.2025.0005698-23.;0.0;620000.0;620000.0;620000.0;620000.0;Turismo
2025;Secretaria da Saúde;Fundo Estadual de Saúde;Salvador;Gerenciamento do Serviço Hospitalar;EMENDA ESTADUAL Nº 599 SALVADOR GERENCIAMENTO HOSPITALAR E AMBULATORIAL;450000.0;350000.0;350000.0;350000.0;350000.0;Saúde
2025;Secretaria de Políticas para as Mulheres;Assessoria de Planejamento e Gestão - SPM;Santa Maria da Vitória;Apoio a Projeto de Empoderamento;Emenda Parlamentar Impositiva nº 648 - Dep. Bobô - Santa Maria da Vitória-Ba.;74500.0;74500.0;74500.0;74500.0;74500.0;Social
2025;Secretaria de Desenvolvimento Urbano;Companhia de Desenvolvimento Urbano do Estado da Bahia;Seabra;Implantação de Infraestrutura Viária;SP:000939/25.NF.135-DIURB.4ª MEDICAO CONTRATO 099/2024 JANEIRO/2025 (PARTE)PAVIMENTAÇÃO DE VIA, NO DISTRITO DE CASCUDO, MUNICÍPIO DE SEABRA ¿ BAHIA.;736000.0;236000.0;236000.0;236000.0;236000.0;Infraestrutura
2025;Secretaria da Educação;Fundo de Assistência Educacional;Senhor do Bonfim;Assistência a Projetos Artísticos;"Recurso de Emenda Estadual 621, do Deputado Bobô, para atender o Centro Estadual de Educação Prof Professor Paulo Batista
Machado, situado no município de Senhor do Bonfim. SEI 011.8297.2025.0110310-11.";100000.0;359556.0;359556.0;359556.0;359556.0;Educação
