id_rec_arrec_detalhe;ano_exercicio;ds_municipio;ds_orgao;mes_referencia;mes_ref_extenso;ds_poder;ds_fonte_recurso;ds_cd_aplicacao_fixo;ds_cd_aplicacao_variavel;ds_categoria;ds_subcategoria;ds_fonte;ds_d1;ds_dd2;ds_d3;ds_tipo;vl_arrecadacao
43875395;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;12 - Fundo Municipal de Cultura - FMC;10000000 - Receitas Correntes;13000000 - Receita Patrimonial;13200000 - Valores Mobiliários;13210000 - Juros e Correções Monetárias;13210100 - Remuneração de Depósitos Bancários;13210100 - Remuneração de Depósitos Bancários;13210101 - Remuneração de Depósitos Bancários - Principal;6181,73
43875402;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;18 - Fundo Social de Solidariedade;10000000 - Receitas Correntes;13000000 - Receita Patrimonial;13200000 - Valores Mobiliários;13210000 - Juros e Correções Monetárias;13210100 - Remuneração de Depósitos Bancários;13210100 - Remuneração de Depósitos Bancários;13210101 - Remuneração de Depósitos Bancários - Principal;987,10
43875403;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;20 - Cota Lei Complementar 198/2023;10000000 - Receitas Correntes;17000000 - Transferências Correntes;17100000 - Transferências da União e de suas Entidades;17110000 - Transferências Decorrentes de Participação na Receita da União;17115100 - Cota-Parte do Fundo de Participação dos Municípios - FPM;17115110 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal;17115111 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal;34869,28
43875404;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;20 - Cota Lei Complementar 198/2023;10000000 - Receitas Correntes;17000000 - Transferências Correntes;17100000 - Transferências da União e de suas Entidades;17110000 - Transferências Decorrentes de Participação na Receita da União;17115100 - Cota-Parte do Fundo de Participação dos Municípios - FPM;17115110 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal;17115111 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal;-6973,84
43875405;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;21 - RESEGE -;10000000 - Receitas Correntes;13000000 - Receita Patrimonial;13200000 - Valores Mobiliários;13210000 - Juros e Correções Monetárias;13210100 - Remuneração de Depósitos Bancários;13210100 - Remuneração de Depósitos Bancários;13210101 - Remuneração de Depósitos Bancários - Principal;2793,43
43875406;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;21 - RESEGE -;10000000 - Receitas Correntes;13000000 - Receita Patrimonial;13900000 - Demais Receitas Patrimoniais;13990000 - Outras Receitas Patrimoniais;13999900 - Outras Receitas Patrimoniais;13999900 - Outras Receitas Patrimoniais;13999901 - Outras Receitas Patrimoniais - Principal;29166,67
43875407;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;100 - GERAL TOTAL;21 - RESEGE -;10000000 - Receitas Correntes;16000000 - Receita de Serviços;16100000 - Serviços Administrativos e Comerciais Gerais;16110000 - Serviços Administrativos e Comerciais Gerais;16110100 - Serviços Administrativos e Comerciais Gerais;16110100 - Serviços Administrativos e Comerciais Gerais;16110101 - Serviços Administrativos e Comerciais Gerais - Principal;46124,70
43875408;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11120000 - Impostos sobre o Patrimônio;11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana;11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana;11125001 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;1534581,02
43875409;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11120000 - Impostos sobre o Patrimônio;11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana;11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana;11125002 - Imposto sobre a Propriedade Predial e Territorial Urbana -  Multas e Juros;36544,46
43875410;2025;Votorantim;PREFEITURA MUNICIPAL DE VOTORANTIM;1;Janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - Impostos, Taxas e Contribuições de Melhoria;11100000 - Impostos;11120000 - Impostos sobre o Patrimônio;11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana;11125000 - Imposto sobre a Propriedade Predial e Territorial Urbana;11125003 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;686794,84
